"regId","schoolId","SchoolName","catShort","catIdx","entryTitle","inContest","earliestStart","latestEnd"
6838,445,"BELLE PLAINE","RT",1,"The Tell Tale Heart","X",,
6838,445,"BELLE PLAINE","SF",1,"Death Escape","X",,
6838,445,"BELLE PLAINE","RB",1,"WBZR","X",,
6838,445,"BELLE PLAINE","GI",1,"Alcott","X",,
6838,445,"BELLE PLAINE","MT",1,"Anything Goes","X",,
6838,445,"BELLE PLAINE","CR",1,"Rocks","X",,
6865,687,"LYNNVILLE-SULLY","EA",1,"Juliet & Ophelia's Anger Management","X",,930
6865,687,"LYNNVILLE-SULLY","EA",2,"Rats","X",,1300
6865,687,"LYNNVILLE-SULLY","GI",1,"The Dream Coats","X",,930
6865,687,"LYNNVILLE-SULLY","GI",2,"The V Squad","X",,930
6865,687,"LYNNVILLE-SULLY","GI",3,"Fresh Fab","X",,930
6865,687,"LYNNVILLE-SULLY","MT",1,"Newsies","X",,930
6865,687,"LYNNVILLE-SULLY","MT",2,"Chicago","X",,1300
6865,687,"LYNNVILLE-SULLY","OA",1,"Man Under Her Bed","X",,930
6869,1030,"Baxter High School","EA",1,"To be determined","X",,
6869,1030,"Baxter High School","TV",1,"FUNK","X",,
6869,1030,"Baxter High School","SF",1,"To be determined","X",,
6869,1030,"Baxter High School","SF",2,"To be determined","X",,
6869,1030,"Baxter High School","GI",1,"To be determined","X",,
6894,843,"SOUTH TAMA","EA",1,"Y'all","X",,
6894,843,"SOUTH TAMA","EA",2,"Frosh in the Pit","X",,
6894,843,"SOUTH TAMA","EA",3,"Grandma Remembers Something","X",,
6894,843,"SOUTH TAMA","RT",1,"Cut","X",,
6894,843,"SOUTH TAMA","SF",1,"Untitled","X",,
6894,843,"SOUTH TAMA","SF",2,"A Day in the Life","X",,
6894,843,"SOUTH TAMA","GI",1,"Nunez","X",,
6894,843,"SOUTH TAMA","GI",2,"Van Dee","X",,
6894,843,"SOUTH TAMA","GI",3,"White","X",,
6894,843,"SOUTH TAMA","MT",1,"Shrek the Musical","X",,
6894,843,"SOUTH TAMA","MT",2,"Legally Blonde","X",,
6894,843,"SOUTH TAMA","MT",3,"Guys and Dolls","X",,
6894,843,"SOUTH TAMA","CR",1,"The Tell-Tale Heart","X",,
6894,843,"SOUTH TAMA","GM",1,"Untitled","X",,
6894,843,"SOUTH TAMA","SM",1,"Jekyll and Hyde","X",,
6894,843,"SOUTH TAMA","SM",2,"How Girls Get Ready in the Morning","X",,
6915,927,"WEST MARSHALL","GI",1,"NA","X",,
6915,927,"WEST MARSHALL","GI",2,"NA","X",,
6924,619,"GRINNELL 9TH","RT",1,"Breaking Badly","X",,
6924,619,"GRINNELL 9TH","SF",1,"Lamps","X",,
6924,619,"GRINNELL 9TH","GI",1,"Nelson","X",,
6924,619,"GRINNELL 9TH","GI",2,"Deitrich","X",,
6924,619,"GRINNELL 9TH","GI",3,"Ferguson","X",,
6924,619,"GRINNELL 9TH","MT",1,"The Telephone Hour from Bye, Bye Birdie","X",,
6924,619,"GRINNELL 9TH","MT",2,"25th Annual Putnam County Spelling Bee	","X",,
6925,618,"GRINNELL","EA",1,"Selfie","X",,
6925,618,"GRINNELL","EA",2,"TBA","X",,
6925,618,"GRINNELL","EA",3,"The Role of Della","X",,
6925,618,"GRINNELL","RT",1,"The Gratitude Project","X",,
6925,618,"GRINNELL","TV",1,"insight.iowa","X",,
6925,618,"GRINNELL","SF",1,"Don't Break a Leg","X",,
6925,618,"GRINNELL","GI",1,"Cha","X",,
6925,618,"GRINNELL","GI",2,"Davis","X",,
6925,618,"GRINNELL","MT",1,"Shy & Song of Love from Once Upon a Mattress","X",,
6925,618,"GRINNELL","MT",2,"The Minstrel, the Jester & I & Normandy from Once Upon a Mattress","X",,
6925,618,"GRINNELL","MT",3,"In a Little While and Yesterday I Loved You from Once Upon a Mattress","X",,
6925,618,"GRINNELL","CR",1,"Bessie Baxter Pine","X",,
6925,618,"GRINNELL","OA",1,"Red","X",,
6954,570,"EAST MARSHALL","EA",1,"Steel Magnolias","X",,
6954,570,"EAST MARSHALL","EA",2,"Sure Thing","X",,
6954,570,"EAST MARSHALL","RT",1,"One-Eye!  Two-Eyes! Three-Eyes!","X",930,
6954,570,"EAST MARSHALL","SF",1,"Never What You Think","X",,
6954,570,"EAST MARSHALL","RB",1,"KTSP","X",,
6954,570,"EAST MARSHALL","RB",2,"KMHA","X",,
6954,570,"EAST MARSHALL","GI",1,"Miller, Stewart, Meling","X",,
6954,570,"EAST MARSHALL","GI",2,"Twedt, Grego, McKee, Curphy","X",,
6954,570,"EAST MARSHALL","GI",3,"Kilborn, Eddy, Gratopp","X",,
6954,570,"EAST MARSHALL","MT",1,"Hercules",,,
6954,570,"EAST MARSHALL","MT",2,"Wicked","X",,930
6954,570,"EAST MARSHALL","OA",1,"Bang, Bang, You're Dead","X",,930
6954,570,"EAST MARSHALL","GM",1,"Mom's / Dad's Night Out","X",,
6957,512,"CLEAR CREEK AMANA","EA",1,"AML","X",,
6957,512,"CLEAR CREEK AMANA","EA",2,"Coaster of Doom","X",,
6957,512,"CLEAR CREEK AMANA","EA",3,"Sunday Night Confessions","X",,
6957,512,"CLEAR CREEK AMANA","RT",1,"The Hysterical History of the Trojan War","X",,
6957,512,"CLEAR CREEK AMANA","TV",1,"Unknown","X",,
6957,512,"CLEAR CREEK AMANA","TV",2,"KTEN","X",,
6957,512,"CLEAR CREEK AMANA","SF",1,"The Day at the Wall","X",,
6957,512,"CLEAR CREEK AMANA","SF",2,"Unknown","X",,
6957,512,"CLEAR CREEK AMANA","RB",1,"CMAD","X",,
6957,512,"CLEAR CREEK AMANA","GI",1,"Toy","X",,
6957,512,"CLEAR CREEK AMANA","GI",2,"VanZante","X",,
6957,512,"CLEAR CREEK AMANA","GI",3,"Johanson","X",,
6957,512,"CLEAR CREEK AMANA","MT",1,"Jekyll & Hyde","X",,
6957,512,"CLEAR CREEK AMANA","MT",2,"Music Man","X",,
6957,512,"CLEAR CREEK AMANA","CR",1,"She Did What?","X",,
6957,512,"CLEAR CREEK AMANA","GM",1,"Fastforward","X",,
6957,512,"CLEAR CREEK AMANA","GM",2,"Middle School Dance","X",,
6957,512,"CLEAR CREEK AMANA","GM",3,"We all hurt","X",,
6957,512,"CLEAR CREEK AMANA","SM",1,"Refuge","X",,
6957,512,"CLEAR CREEK AMANA","SM",2,"Pintrest Fail","X",,
6958,1039,"CLEAR CREEK-AMANA 9TH","EA",1,"Romeo & What's Her Name","X",,
6958,1039,"CLEAR CREEK-AMANA 9TH","RT",1,"Legend of Sleepy Hollow","X",,
6958,1039,"CLEAR CREEK-AMANA 9TH","GI",1,"Ritchie","X",,
6958,1039,"CLEAR CREEK-AMANA 9TH","GM",1,"Hallucination of Happiness","X",,
