Room                         Start  End   Cat  # EntryTitle
F117 Ripperda Center C        8:40   8:48  PA  1 HeForShe
Rockhill Center D (Draw acr   9:03   9:08  RN  2 
TeGrootenhuis Center J        9:03   9:09  PO  3 You Are Beautiful
J105 Metzger Center B         9:40   9:46  EA  1 Hunger Across America:  What We Need to do About It
Martinson Center H            9:40   9:46  PR  2 I'll Be Looking For You, Ace
Rockhill Center D (Draw acr   9:41   9:46  RN  3 
TeGrootenhuis Center J        9:49   9:55  PO  2 What I Learned in Life
Sorensen Center O            10:20  10:28  OO  3 As We Know It
Rockhill Center D (Draw acr  10:26  10:31  RN  1 
Sorensen Center O            10:30  10:38  OO  2 One in Six
Wiltgen Center G             11:36  11:42  PO  1 Packing for a Holiday Vacation
Sorensen Center O             1:15   1:23  OO  1 Skin Deep
TeGrootenhuis Center J        1:19   1:25  PR  3 What She Doesn't Know
TeGrootenhuis Center J        2:13   2:19  PR  1 Dear Dad
J. Meyer Center I             2:50   2:58  LP  1 Over Time
