SchoolID,SchoolName,Nickname,Address1,Address2,City,State,Province,ZipCode,Country,Phone,Phone_ext,Fax,SuperIntendentName,SuperIntendentEmail,Active,CreateDate,ModifyDate
1067,BELLE PLAINE 9TH,,707 7TH Street,,Belle Plaine,IA,,52208,,,,,,,TRUE,,
1050,HAMPTON-DUMONT 9TH,,,,,IA,,,,,,,,,TRUE,,
1053,MOUNT AYR 9TH,,,,MOUNT AYR,IA,,,,,,,,,TRUE,,
1054,SOUTHWEST VALLEY 9TH,,,,,IA,,,,,,,,,TRUE,,
1055,Spindustry test school2,,,,,,,,,,,,,,TRUE,,
1056,BEDFORD 9TH,,,,Bedford,,,,,,,,,,TRUE,,
1057,CEDAR VALLEY CHRISTIAN 9TH,,,,cedar Rapids,IA,,,,,,,,,TRUE,,
1058,CEDAR RAPIDS METRO 9TH,,,,,IA,,,,,,,,,TRUE,,
1059,WOODWARD-GRANGER 9TH,,,,,IA,,,,,,,,,TRUE,,
1060,CARDINAL 9TH,,,,,IA,,,,,,,,,TRUE,,
1061,"SIouxland Christian High School
",,6100 Morningside Ave,,Sioux City,IA,,51106,,712-276-4732,,,,,TRUE,,
1062,GRISWOLD 9TH,,,,GRISWOLD,IA,,51535,,(712) 778-2154,,,,,TRUE,,
1063,PANORAMA 9TH,,,,PANORA,IA,,,,,,,,,TRUE,,
1064,CARLISLE 9TH,,,,CARLISLE,IA,,,,,,,,,TRUE,,
1,DSM Vernon High School,Hawks,3215 Hillcrest Dr,,Des Moines,IA,,50310,,,,,,,TRUE,,
402,Test IHSSA High School,,,,Des Moines,IA,,,,,,,,,TRUE,,
403,Test IHSSA2 School,,,,,0,,,,,,,,,TRUE,,
404,Spindustry test school,,,,,0,,,,,,,,,TRUE,,
405,Test IHSSA3 School,,,,,IA,,,,,,,,,TRUE,,
406,A-H-S-T-W,,,,AVOCA,,,,,712-343-6304,,,,,FALSE,,
407,ADAIR-CASEY,,,,ADAIR,,,,,641-746-2241,,,,,,,
408,ADM,,,,ADEL,,,,,515-993-4584,,,,,,,
409,ADM 9TH,,,,ADEL,,,,,515-993-4584,,,,,,,
410,AGWSR,,,,ACKLEY,,,,,641-847-2633,,,,,,,
411,AGWSR 9TH,,,,ACKLEY,,,,,641-847-2633,,,,,,,
412,AKRON-WESTFIELD,,,,AKRON,,,,,712-568-2020,,,,,,,
413,AKRON-WESTFIELD 9TH,,,,AKRON,,,,,712-568-2020,,,,,,,
414,ALBERT CITY-TRUESDALE,,,,ALBERT CITY,,,,,712-843-5416,,,,,,,
415,ALBIA,,,,ALBIA,,,,,641-932-2161,,,,,,,
416,ALBURNETT,,,,ALBURNETT,,,,,319-842-2263,,,,,,,
417,ALDEN,,,,ALDEN,,,,,515-859-3393,,,,,,,
418,ALGONA,,,,ALGONA,,,,,515-295-7207,,,,,,,
419,ALGONA GARRIGAN,,,,ALGONA,,,,,515-295-3521,,,,,,,
420,ALGONA GARRIGAN 9TH,,,,ALGONA,,,,,515-295-3521,,,,,,,
421,ALLISON-BRISTOW,,,,ALLISON,,,,,319-267-2552,,,,,,,
422,ALTA-AURELIA,,,,ALTA,0,,,,712-200-1331,,,,,FALSE,,
423,ALTA-AURELIA 9TH,,,,ALTA,0,,,,712-284-1331,,,,,FALSE,,
424,AMES,,,,AMES,,,,,515-239-3710,,,,,,,
425,AMES 9TH,,,,AMES,,,,,515-239-3710,,,,,,,
426,ANAMOSA,,,,ANAMOSA,,,,,319-462-3594,,,,,,,
427,ANDREW,,,,ANDREW,,,,,563-672-3221,,,,,,,
428,ANKENY,,,,ANKENY,,,,,515-965-9630,,,,,,,
429,ANKENY 9TH,,,,ANKENY,,,,,515-965-9700,,,,,,,
430,APLINGTON-PARKERSBURG,,,,PARKERSBURG,,,,,319-346-1571,,,,,,,
431,APLINGTON-PARKERSBURG 9TH,,,,PARKERSBURG,,,,,319-346-1571,,,,,,,
432,AR-WE-VA,,,,WESTSIDE,,,,,712-663-4312,,,,,,,
433,NORTH UNION,,,,ARMSTRONG,IA,,,,712-868-3542,,,,,FALSE,,
434,ATLANTIC,,,,ATLANTIC,,,,,712-243-5364,,,,,,,
435,ATLANTIC 9TH,,,,ATLANTIC,,,,,712-243-5364,,,,,,,
436,AUDUBON,,,,AUDUBON,,,,,712-563-2607,,,,,,,
437,AURELIA,,,,AURELIA,,,,,712-434-5595,,,,,,,
438,BALLARD,,,,HUXLEY,,,,,515-597-2971,,,,,,,
439,BALLARD 9TH,,,,HUXLEY,,,,,515-597-2971,,,,,,,
440,OA-BCIG,,,,IDA GROVE,0,,,,712-364-3371,,,,,FALSE,,
441,BCLUW,,,,CONRAD,,,,,641-366-2810,,,,,,,
442,BECKMAN,,,,DYERSVILLE,,,,,563-875-7188,,,,,,,
443,BECKMAN 9TH,,,,DYERSVILLE,,,,,563-875-7188,,,,,,,
444,BEDFORD,,,,BEDFORD,,,,,712-523-2114,,,,,,,
445,BELLE PLAINE,,,,BELLE PLAINE,,,,,319-444-3720,,,,,,,
446,BELLEVUE COMMUNITY,,,,BELLEVUE,,,,,563-872-4001,,,,,,,
447,BELLEVUE MARQUETTE,,,,BELLEVUE,,,,,563-872-3356,,,,,,,
448,BELMOND-KLEMME,,,,BELMOND,,,,,515-444-4300,,,,,,,
449,BENTON COMMUNITY,,,,VAN HORNE,,,,,319-228-8701,,,,,,,
450,BENTON COMMUNITY 9TH,,,,VAN HORNE,,,,,319-228-8701,,,,,,,
451,BETTENDORF,,,,BETTENDORF,,,,,563-332-7001,,,,,,,
452,BGM,,,,BROOKLYN,,,,,641-522-7058,,,,,,,
453,BGM 9TH,,,,BROOKLYN,,,,,641-522-7058,,,,,,,
454,BONDURANT-FARRAR,,,,BONDURANT,,,,,515-967-3711,,,,,,,
455,BOONE,,,,BOONE,,,,,515-433-0899,,,,,,,
456,BOONE 9TH,,,,BOONE,,,,,515-433-0890,,,,,,,
457,BOYDEN-HULL,,,,HULL,,,,,712-439-2711,,,,,,,
458,BOYER VALLEY,,,,DUNLAP,,,,,712-643-2258,,,,,,,
459,BOYER VALLEY 9TH,,,,DUNLAP,,,,,712-643-2258,,,,,,,
460,BURLINGTON,,,,BURLINGTON ,,,,,319-753-2211,,,,,,,
461,BURLINGTON NOTRE DAME,,,,BURLINGTON,,,,,319-752-8690,,,,,,,
462,C & M,,,,MASSENA,,,,,712-779-2212,,,,,,,
463,C & M 9TH,,,,MASSENA,,,,,712-779-2212,,,,,,,
464,CAL-DOWS ,,,,LATIMER,,,,,641-579-6081,,,,,,,
465,CAL-DOWS 9TH,,,,LATIMER,,,,,641-579-6081,,,,,,,
466,CALAMUS-WHEATLAND,,,,WHEATLAND,,,,,563-374-1292,,,,,,,
467,CAM,,,,ANITA,,,,,712-762-3231,,,,,,,
468,CAM 9TH,,,,ANITA,,,,,712-762-3231,,,,,,,
469,CAMANCHE,,,,CAMANCHE,,,,,563-259-3008,,,,,,,
470,CARDINAL,,,,ELDON,,,,,641-652-7531,,,,,,,
471,CARLISLE,,,,CARLISLE,,,,,515-989-0831,,,,,,,
472,CARROLL,,,,CARROLL,,,,,712-792-8010,,,,,,,
473,CASCADE,,,,CASCADE,,,,,563-852-3201,,,,,,,
474,CASCADE 9TH,,,,CASCADE,,,,,563-852-3201,,,,,,,
475,CEDAR FALLS,,,,CEDAR FALLS,,,,,319-553-2501,,,,,,,
476,CEDAR FALLS 9TH,,,,CEDAR FALLS,,,,,319-553-2501,,,,,,,
477,CEDAR FALLS NORTHERN UNIV,,,,CEDAR FALLS,,,,,319-273-7666,,,,,,,
478,CEDAR RAPIDS JEFFERSON,,,,CEDAR RAPIDS,,,,,319-558-3124,,,,,,,
479,CEDAR RAPIDS JEFFERSON 9TH,,,,CEDAR RAPIDS,,,,,319-558-3124,,,,,,,
480,CEDAR RAPIDS KENNEDY,,,,CEDAR RAPIDS,,,,,319-558-2251,,,,,,,
481,CEDAR RAPIDS PRAIRIE,,,,CEDAR RAPIDS,,,,,319-848-5466,,,,,,,
482,CEDAR RAPIDS PRAIRIE 9TH,,,,CEDAR RAPIDS,,,,,319-848-5360,,,,,,,
483,CEDAR RAPIDS WASHINGTON,,,,CEDAR RAPIDS,,,,,319-558-2161,,,,,,,
484,CEDAR RAPIDS XAVIER,,,,CEDAR RAPIDS,,,,,319-294-6635,,,,,,,
485,CENTER POINT-URBANA,,,,CENTER POINT,,,,,319-849-1102,,,,,,,
486,CENTER POINT-URBANA 9TH,,,,CENTER POINT,,,,,319-849-1102,,,,,,,
487,CENTERVILLE,,,,CENTERVILLE,,,,,641-856-0830,,,,,,,
488,CENTERVILLE 9TH,,,,CENTERVILLE,,,,,641-856-0830,,,,,,,
489,CENTRAL CITY,,,,CENTRAL CITY,,,,,319-438-6181,,,,,,,
490,CENTRAL DEWITT,,,,DE WITT,,,,,563-659-0715,,,,,FALSE,,
491,CENTRAL DEWITT 9TH,,,,DE WITT,,,,,563-659-0715,,,,,FALSE,,
492,CENTRAL DECATUR,,,,LEON,,,,,641-446-4816,,,,,,,
493,CENTRAL ELKADER,,,,ELKADER,,,,,563-245-1750,,,,,,,
494,CENTRAL ELKADER 9TH,,,,ELKADER,,,,,563-245-1751,,,,,,,
495,CENTRAL LEE,,,,DONNELLSON,,,,,319-835-5121,,,,,,,
496,CENTRAL LYON,,,,ROCK RAPIDS,,,,,712-472-4051,,,,,,,
497,CENTRAL LYON 9TH,,,,ROCK RAPIDS,,,,,712-472-4051,,,,,,,
498,CHARITON,,,,CHARITON,,,,,641-774-5066,,,,,,,
499,CHARLES CITY,,,,CHARLES CITY,,,,,641-257-6510,,,,,,,
500,CHARTER OAK-UTE,,,,CHARTER OAK,,,,,712-678-3325,,,,,,,
501,CHARTER OAK-UTE 9TH,,,,CHARTER OAK,,,,,712-678-3325,,,,,,,
502,CHEROKEE WASHINGTON,,,,CHEROKEE,,,,,712-225-6755,,,,,,,
503,CHEROKEE WASHINGTON 9TH,,,,CHEROKEE,,,,,712-225-6755,,,,,,,
504,CLARINDA,,,,CLARINDA,,,,,712-542-5167,,,,,,,
