108, ADM
572, ADM 9TH
652, BEDFORD
629, CAM
261, CAM 9TH
201, CLARINDA
677, CLARKE COMMUNITY
956, CRESTON
304, CRESTON 9TH
206, DIAGONAL
384, EARLHAM
258, EARLHAM 9TH
471, EAST UNION
106, INTERSTATE 35
972, LENOX
320, LENOX 9TH
571, MORMON TRAIL
733, MOUNT AYR
140, MOUNT AYR 9TH
654, MURRAY
427, NODAWAY VALLEY
809, ORIENT-MACKSBURG
715, PANORAMA
527, PANORAMA 9TH
250, SOUTH PAGE
923, SOUTHEAST WARREN
538, Southwest Valley High School
399, VAN METER
218, WAUKEE
375, WAUKEE 9TH
988, WEST CENTRAL VALLEY
848, WINTERSET
508, WINTERSET 9TH
